epoch 85: f[0.0015348196944486858, 0.01443445768561702] = 0.04177485927156965
epoch 86: f[0.0015348196944486858, 0.008407235646679112] = 0.014486771418269484
epoch 87: f[0.0015348196944486858, 0.008407235646679112] = 0.014486771418269484
epoch 88: f[0.003212094498401541, 0.00041782858478001117] = 0.002081486786149611
epoch 89: f[0.003212094498401541, 0.00041782858478001117] = 0.002081486786149611
epoch 90: f[0.01297772008047815, 0.00041782858478001117] = 0.03342965618186611
epoch 91: f[0.014198423278237726, 0.02029240252330311] = 0.12155266978939494
epoch 92: f[0.011051297846513819, 0.02025187136244] = 0.10547919043004228
epoch 93: f[0.011051297846513819, 0.020175577412580026] = 0.10486891136783072
epoch 94: f[0.010992885291152277, 0.019916893238836053] = 0.10256148102260099
epoch 95: f[0.010992885291152277, 0.019916893238836053] = 0.10256148102260099
epoch 96: f[0.009812713254255812, 0.019868017427207008] = 0.09730880763159533
epoch 97: f[0.009812713254255812, 0.019868017427207008] = 0.09730880763159533
epoch 98: f[4.70876721792024e-05, 0.01994431137706698] = 0.0788132662224541
epoch 99: f[0.0143438586201583, 0.0011426211084497595] = 0.041049967946392485
epoch 100: f[0.0011426211084497595, 0.0143438586201583] = 0.041049967946392485
